Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,2963.300049,3147.199951,2888.199951,2920.399902,2920.399902,0
2009-01-08,2919.949951,2929.850098,2720.800049,2835.300049,2835.300049,0
2009-01-15,2832.300049,2868.199951,2690.199951,2706.149902,2706.149902,0
2009-01-22,2714.699951,2855.399902,2661.649902,2849.500000,2849.500000,0
2009-01-29,2849.350098,2881.000000,2752.899902,2803.050049,2803.050049,0
2009-02-05,2802.750000,2957.399902,2754.850098,2925.699951,2925.699951,0
2009-02-12,2927.399902,2969.750000,2736.649902,2776.149902,2776.149902,0
2009-02-19,2776.699951,2802.149902,2677.550049,2762.500000,2762.500000,0
2009-02-26,2762.199951,2797.800049,2611.550049,2645.199951,2645.199951,0
2009-03-05,2645.899902,2663.899902,2539.449951,2573.149902,2573.149902,0
2009-03-12,2574.500000,2836.050049,2574.500000,2794.699951,2794.699951,0
2009-03-19,2797.050049,3017.399902,2771.350098,2984.350098,2984.350098,0
2009-03-26,2982.250000,3123.350098,2962.399902,3060.350098,3060.350098,0
2009-04-02,3061.050049,3357.050049,3061.050049,3342.949951,3342.949951,0
2009-04-09,3346.000000,3497.550049,3307.050049,3484.149902,3484.149902,0
2009-04-16,3484.350098,3511.250000,3296.899902,3330.300049,3330.300049,0
2009-04-23,3330.500000,3517.250000,3310.500000,3473.949951,3473.949951,0
2009-04-30,3478.699951,3717.050049,3478.699951,3625.050049,3625.050049,0
2009-05-07,3617.149902,3711.250000,3534.199951,3635.250000,3635.250000,0
2009-05-14,3631.899902,4509.399902,3537.600098,4270.299805,4270.299805,0
2009-05-21,4270.350098,4319.000000,4092.250000,4276.049805,4276.049805,0
2009-05-28,4276.149902,4586.399902,4254.850098,4530.700195,4530.700195,0
2009-06-04,4530.299805,4688.950195,4365.100098,4655.250000,4655.250000,0
2009-06-11,4657.399902,4693.200195,4332.799805,4356.149902,4356.149902,0
2009-06-18,4352.950195,4375.299805,4143.250000,4292.950195,4292.950195,0
2009-06-25,4293.850098,4439.950195,4221.149902,4340.899902,4340.899902,0
2009-07-02,4373.500000,4479.799805,4061.100098,4078.899902,4078.899902,0
2009-07-09,4078.750000,4249.549805,3918.750000,4233.500000,4233.500000,0
2009-07-16,4223.500000,4557.950195,4205.500000,4398.899902,4398.899902,0
2009-07-23,4409.700195,4599.899902,4405.950195,4513.500000,4513.500000,0
2009-07-30,4513.100098,4731.450195,4474.500000,4694.149902,4694.149902,0
2009-08-06,4694.350098,4718.149902,4359.399902,4457.500000,4457.500000,0
2009-08-13,4458.549805,4619.000000,4353.450195,4394.100098,4394.100098,0
2009-08-20,4394.350098,4697.799805,4394.350098,4680.850098,4680.850098,0
2009-08-27,4679.000000,4743.750000,4576.600098,4608.350098,4608.350098,0
2009-09-03,4608.750000,4842.200195,4580.350098,4814.250000,4814.250000,0
2009-09-10,4814.350098,4966.299805,4786.250000,4958.399902,4958.399902,0
2009-09-17,4958.549805,5036.299805,4931.899902,4969.950195,4969.950195,0
2009-09-24,4977.149902,5087.600098,4904.049805,5083.950195,5083.950195,0
2009-10-01,5087.200195,5110.500000,4921.049805,4985.750000,4985.750000,0
2009-10-08,5011.250000,5127.399902,4934.549805,5118.200195,5118.200195,0
2009-10-15,5118.549805,5181.950195,5051.649902,5063.600098,5063.600098,0
2009-10-22,5063.350098,5064.250000,4784.100098,4826.149902,4826.149902,0
2009-10-29,4826.100098,4853.649902,4538.500000,4710.799805,4710.799805,0
2009-11-05,4711.649902,5016.700195,4610.600098,5003.950195,5003.950195,0
2009-11-12,5004.399902,5079.299805,4924.750000,5054.700195,5054.700195,0
2009-11-19,5043.950195,5138.000000,4932.799805,5108.149902,5108.149902,0
2009-11-26,5116.450195,5161.750000,4806.700195,5123.250000,5123.250000,0
2009-12-03,5124.549805,5181.000000,5051.549805,5112.000000,5112.000000,0
2009-12-10,5112.399902,5182.549805,5001.799805,5042.049805,5042.049805,0
2009-12-17,5046.649902,5150.600098,4943.950195,5144.600098,5144.600098,0
2009-12-24,5144.799805,5214.600098,5129.049805,5169.450195,5169.450195,0
2009-12-31,5171.200195,5310.850098,5167.100098,5281.799805,5281.799805,0
2010-01-07,5281.799805,5302.549805,5169.549805,5233.950195,5233.950195,0
2010-01-14,5234.500000,5292.500000,5201.399902,5221.700195,5221.700195,0
2010-01-21,5220.200195,5220.350098,4833.049805,4853.100098,4853.100098,0
2010-01-28,4863.000000,4951.149902,4766.000000,4931.850098,4931.850098,0
2010-02-04,4931.299805,4931.299805,4675.399902,4757.200195,4757.200195,0
2010-02-11,4757.250000,4929.700195,4757.250000,4914.000000,4914.000000,0
2010-02-18,4915.100098,4922.049805,4805.549805,4858.600098,4858.600098,0
2010-02-25,4859.000000,5093.250000,4835.600098,5088.100098,5088.100098,0
2010-03-04,5096.950195,5147.100098,5049.000000,5116.250000,5116.250000,0
2010-03-11,5116.350098,5260.500000,5101.200195,5231.899902,5231.899902,0
2010-03-18,5232.549805,5269.950195,5187.049805,5225.299805,5225.299805,0
2010-03-25,5225.299805,5329.549805,5202.950195,5249.100098,5249.100098,0
2010-04-01,5249.200195,5399.649902,5249.200195,5374.649902,5374.649902,0
2010-04-08,5376.299805,5383.649902,5290.250000,5322.950195,5322.950195,0
2010-04-15,5323.299805,5373.149902,5160.899902,5244.899902,5244.899902,0
2010-04-22,5248.600098,5342.350098,5202.450195,5215.450195,5215.450195,0
2010-04-29,5215.250000,5294.799805,5056.500000,5124.899902,5124.899902,0
2010-05-06,5124.399902,5206.700195,4984.600098,5156.649902,5156.649902,0
2010-05-13,5157.549805,5212.700195,4908.149902,4919.649902,4919.649902,0
2010-05-20,4924.299805,5029.549805,4786.450195,4917.399902,4917.399902,0
2010-05-27,4915.149902,5097.600098,4897.600098,5019.850098,5019.850098,0
2010-06-03,5020.149902,5147.899902,4967.299805,5000.299805,5000.299805,0
2010-06-10,4999.600098,5255.649902,4997.600098,5233.350098,5233.350098,0
2010-06-17,5233.649902,5366.750000,5206.549805,5323.149902,5323.149902,0
2010-06-24,5323.250000,5348.299805,5210.000000,5312.500000,5312.500000,0
2010-07-01,5312.049805,5312.549805,5225.600098,5241.100098,5241.100098,0
2010-07-08,5242.000000,5453.450195,5242.000000,5386.149902,5386.149902,0
2010-07-15,5387.100098,5416.450195,5353.600098,5399.350098,5399.350098,0
2010-07-22,5399.149902,5477.500000,5372.200195,5397.549805,5397.549805,0
2010-07-29,5397.850098,5481.899902,5349.200195,5467.850098,5467.850098,0
2010-08-05,5470.149902,5492.299805,5412.000000,5420.600098,5420.600098,0
2010-08-12,5418.700195,5487.950195,5372.450195,5479.149902,5479.149902,0
2010-08-19,5478.250000,5549.799805,5452.549805,5462.350098,5462.350098,0
2010-08-26,5462.100098,5495.200195,5348.899902,5471.850098,5471.850098,0
2010-09-02,5471.899902,5625.500000,5471.850098,5607.850098,5607.850098,0
2010-09-09,5608.299805,5869.450195,5608.100098,5860.950195,5860.950195,0
2010-09-16,5861.100098,6037.399902,5815.799805,5991.000000,5991.000000,0
2010-09-23,5991.049805,6073.500000,5932.399902,5991.299805,5991.299805,0
2010-09-30,5991.350098,6223.399902,5963.600098,6186.450195,6186.450195,0
2010-10-07,6186.850098,6240.250000,6057.950195,6233.899902,6233.899902,0
2010-10-14,6234.299805,6284.100098,5966.750000,5982.100098,5982.100098,0
