Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,2963.300049,3147.199951,2661.649902,2874.800049,2874.800049,0
2009-02-01,2872.350098,2969.750000,2677.550049,2763.649902,2763.649902,0
2009-03-01,2764.600098,3123.350098,2539.449951,3020.949951,3020.949951,0
2009-04-01,3023.850098,3517.250000,2965.699951,3473.949951,3473.949951,0
2009-05-01,3478.699951,4509.399902,3478.699951,4448.950195,4448.950195,0
2009-06-01,4450.399902,4693.200195,4143.250000,4291.100098,4291.100098,0
2009-07-01,4292.299805,4669.750000,3918.750000,4636.450195,4636.450195,0
2009-08-01,4633.799805,4743.750000,4353.450195,4662.100098,4662.100098,0
2009-09-01,4662.200195,5087.600098,4576.600098,5083.950195,5083.950195,0
2009-10-01,5087.200195,5181.950195,4687.500000,4711.700195,4711.700195,0
2009-11-01,4712.250000,5138.000000,4538.500000,5032.700195,5032.700195,0
2009-12-01,5039.700195,5221.850098,4943.950195,5201.049805,5201.049805,0
2010-01-01,5200.899902,5310.850098,4766.000000,4882.049805,4882.049805,0
2010-02-01,4882.049805,4992.000000,4675.399902,4922.299805,4922.299805,0
2010-03-01,4935.600098,5329.549805,4935.350098,5249.100098,5249.100098,0
2010-04-01,5249.200195,5399.649902,5160.899902,5278.000000,5278.000000,0
2010-05-01,5278.399902,5278.700195,4786.450195,5086.299805,5086.299805,0
2010-06-01,5086.250000,5366.750000,4961.049805,5312.500000,5312.500000,0
2010-07-01,5312.049805,5477.500000,5225.600098,5367.600098,5367.600098,0
2010-08-01,5369.549805,5549.799805,5348.899902,5402.399902,5402.399902,0
2010-09-01,5403.049805,6073.500000,5403.049805,6029.950195,6029.950195,0
2010-10-01,6030.299805,6284.100098,5937.100098,6017.700195,6017.700195,0
2010-11-01,6092.299805,6338.500000,5690.350098,5862.700195,5862.700195,0
2010-12-01,5871.000000,6147.299805,5721.149902,6134.500000,6134.500000,0
2011-01-01,6177.450195,6181.049805,5416.649902,5505.899902,5505.899902,0
2011-02-01,5537.299805,5599.250000,5177.700195,5333.250000,5333.250000,0
2011-03-01,5382.000000,5872.000000,5348.200195,5833.750000,5833.750000,0
2011-04-01,5835.000000,5944.450195,5693.250000,5749.500000,5749.500000,0
2011-05-01,5766.899902,5775.250000,5328.700195,5473.100098,5473.100098,0
2011-06-01,5561.049805,5657.899902,5195.899902,5647.399902,5647.399902,0
2011-07-01,5705.750000,5740.399902,5453.950195,5482.000000,5482.000000,0
2011-08-01,5527.500000,5551.899902,4720.000000,5001.000000,5001.000000,0
2011-09-01,5109.799805,5169.250000,4758.850098,4943.250000,4943.250000,0
2011-10-01,4874.399902,5399.700195,4728.299805,5326.600098,5326.600098,0
2011-11-01,5278.600098,5326.450195,4640.950195,4832.049805,4832.049805,0
2011-12-01,4970.850098,5099.250000,4531.149902,4624.299805,4624.299805,0
2012-01-01,4675.799805,5217.000000,4675.799805,5199.250000,5199.250000,0
2012-02-01,5198.149902,5629.950195,5159.000000,5385.200195,5385.200195,0
2012-03-01,5366.000000,5499.399902,5135.950195,5295.549805,5295.549805,0
2012-04-01,5296.350098,5378.750000,5154.299805,5248.149902,5248.149902,0
2012-05-01,5254.299805,5279.600098,4788.950195,4924.250000,4924.250000,0
2012-06-01,4910.850098,5286.250000,4770.350098,5278.899902,5278.899902,0
2012-07-01,5283.850098,5348.549805,5032.399902,5229.000000,5229.000000,0
2012-08-01,5220.700195,5448.600098,5164.649902,5258.500000,5258.500000,0
2012-09-01,5276.500000,5735.149902,5215.700195,5703.299805,5703.299805,0
2012-10-01,5704.750000,5815.350098,4888.200195,5619.700195,5619.700195,0
2012-11-01,5609.850098,5885.250000,5548.350098,5879.850098,5879.850098,0
2012-12-01,5878.250000,5965.149902,5823.149902,5905.100098,5905.100098,0
2013-01-01,5982.600098,6111.799805,5940.600098,6034.750000,6034.750000,1293100
2013-02-01,6040.950195,6052.950195,5671.899902,5693.049805,5693.049805,3081200
2013-03-01,5702.450195,5971.200195,5604.850098,5682.549805,5682.549805,2879100
2013-04-01,5697.350098,5962.299805,5477.200195,5930.200195,5930.200195,2725300
2013-05-01,5911.399902,6229.450195,5910.950195,5985.950195,5985.950195,3077100
2013-06-01,5997.350098,6011.000000,5566.250000,5842.200195,5842.200195,2981700
2013-07-01,5834.100098,6093.350098,5675.750000,5742.000000,5742.000000,3519500
2013-08-01,5776.899902,5808.500000,5118.850098,5471.799805,5471.799805,5011800
2013-09-01,5480.250000,6142.500000,5318.899902,5735.299805,5735.299805,4485900
2013-10-01,5756.100098,6309.049805,5700.950195,6299.149902,6299.149902,3840600
2013-11-01,6289.750000,6332.600098,5972.450195,6176.100098,6176.100098,3008100
2013-12-01,6171.149902,6415.250000,6129.950195,6304.000000,6304.000000,3616400
2014-01-01,6301.250000,6358.299805,6027.250000,6089.500000,6089.500000,3280800
2014-02-01,6058.799805,6282.700195,5933.299805,6276.950195,6276.950195,2688200
2014-03-01,6264.350098,6730.049805,6212.250000,6704.200195,6704.200195,3853200
2014-04-01,6729.500000,6869.850098,6650.399902,6696.399902,6696.399902,2672300
2014-05-01,6709.950195,7563.500000,6638.549805,7229.950195,7229.950195,4282600
2014-06-01,7264.049805,7700.049805,7239.500000,7611.350098,7611.350098,3619400
2014-07-01,7629.000000,7840.950195,7422.149902,7721.299805,7721.299805,3315500
2014-08-01,7662.500000,7968.250000,7540.100098,7954.350098,7954.350098,2481800
2014-09-01,7990.350098,8180.200195,7841.799805,7964.799805,7964.799805,2931900
